account,in_degree,out_degree,total_sent,total_recv,txn_count,type
C932583850,39,0,0.0,14082261.52,39,customer
C716083600,38,0,0.0,11956549.94,38,customer
C667346055,36,0,0.0,10575097.71,36,customer
C766681183,28,0,0.0,21739754.95,28,customer
C991505714,26,0,0.0,15271399.08,26,customer
C803116137,26,0,0.0,13612837.22,26,customer
C1394526584,15,0,0.0,5387746.91,15,customer
C644345897,12,0,0.0,2785273.84,12,customer
C2127862399,11,0,0.0,2080957.81,11,customer
C1626759869,10,0,0.0,2650606.71,10,customer
C1983025922,9,0,0.0,1038297.09,9,customer
C2094777811,9,0,0.0,4929799.37,9,customer
C380242442,9,0,0.0,1202840.83,9,customer
C410033330,8,0,0.0,649854.93,8,customer
C1711105800,7,0,0.0,555875.88,7,customer
C1032986144,7,0,0.0,116281.19,7,customer
C124540047,7,0,0.0,659933.42,7,customer
C7881234,7,0,0.0,2582325.54,7,customer
C12793273,7,0,0.0,2667512.5,7,customer
C560041895,6,0,0.0,580068.38,6,customer
C2072030256,6,0,0.0,3061524.54,6,customer
C1570256460,6,0,0.0,6533580.5,6,customer
C297927961,6,0,0.0,402773.52,6,customer
C801412408,5,0,0.0,801243.97,5,customer
C1364913072,5,0,0.0,74931.32,5,customer
C2089016471,5,0,0.0,104127.88,5,customer
C553264065,4,0,0.0,232045.24,4,customer
C339924917,4,0,0.0,39658.34,4,customer
C2100440237,4,0,0.0,396502.49,4,customer
C1438594533,4,0,0.0,243897.81,4,customer
C847761155,4,0,0.0,727573.16,4,customer
C118648358,4,0,0.0,786534.07,4,customer
C634210724,4,0,0.0,283944.18,4,customer
C573200870,4,0,0.0,178247.55,4,customer
C256417920,3,0,0.0,74606.43,3,customer
C945327594,3,0,0.0,10087316.5,3,customer
C1002031672,3,0,0.0,154830.16,3,customer
C1956477953,3,0,0.0,468214.07,3,customer
C116289363,3,0,0.0,261986.73,3,customer
C922511709,3,0,0.0,385207.85,3,customer
C1379589736,3,0,0.0,119598.2,3,customer
C451934410,3,0,0.0,136336.5,3,customer
C382431057,3,0,0.0,263605.8,3,customer
C978609035,3,0,0.0,1880108.28,3,customer
C1249547869,3,0,0.0,63960.13,3,customer
C1101441872,3,0,0.0,166513.28,3,customer
C522173599,2,0,0.0,132893.47,2,customer
C418964192,2,0,0.0,33024.28,2,customer
C1790657739,2,0,0.0,23310.74,2,customer
C1807010830,2,0,0.0,321751.72,2,customer
C1848415041,2,0,0.0,26439.6,2,customer
C1384210339,1,0,0.0,25071.46,1,customer
C972765878,1,0,0.0,2806.0,1,customer
C38997010,1,0,0.0,181.0,1,customer
C527482085,1,0,0.0,85354.69,1,customer
C824421402,1,0,0.0,21729.0,1,customer
C1315078366,1,0,0.0,216422.0,1,customer
C1769947269,1,0,0.0,164.0,1,customer
C789014007,1,0,0.0,181728.11,1,customer
C588779235,1,0,0.0,222.0,1,customer
C378841819,1,0,0.0,222.0,1,customer
C2119910556,1,0,0.0,164.0,1,customer
C431687661,1,0,0.0,1277212.77,1,customer
C1136419747,1,0,0.0,35063.63,1,customer
C1007251739,1,0,0.0,2806.0,1,customer
C2063275841,1,0,0.0,1096187.24,1,customer
C449261773,1,0,0.0,2930418.44,1,customer
C1589547066,1,0,0.0,17320.91,1,customer
C904300960,1,0,0.0,30521.02,1,customer
C908043384,1,0,0.0,10224.0,1,customer
C1662235713,1,0,0.0,33332.86,1,customer
C746009679,1,0,0.0,10119.47,1,customer
C41792607,1,0,0.0,25975.86,1,customer
C268086000,1,0,0.0,963532.14,1,customer
C234430897,1,0,0.0,18627.02,1,customer
C1191544932,1,0,0.0,86070.17,1,customer
C162114152,1,0,0.0,120074.73,1,customer
C612008977,1,0,0.0,262434.54,1,customer
C1666314150,1,0,0.0,21571.0,1,customer
C1726301214,1,0,0.0,5460002.91,1,customer
C1305486145,0,1,181.0,0.0,1,customer
C1275464847,0,1,25071.46,0.0,1,customer
C669700766,0,1,25071.46,0.0,1,customer
C1635772897,0,1,35063.63,0.0,1,customer
C1364127192,0,1,35063.63,0.0,1,customer
C467632528,0,1,1277212.77,0.0,1,customer
C1334405552,0,1,1277212.77,0.0,1,customer
C1118430673,0,1,20128.0,0.0,1,customer
C749981943,0,1,416001.33,0.0,1,customer
C2101527076,0,1,2806.0,0.0,1,customer
C137533655,0,1,20128.0,0.0,1,customer
C840083671,0,1,181.0,0.0,1,customer
C1420196421,0,1,2806.0,0.0,1,customer
C351297720,0,1,10000000.0,0.0,1,customer
C7162498,0,1,10000000.0,0.0,1,customer
C140702728,0,1,14949.84,0.0,1,customer
C1499825229,0,1,235238.66,0.0,1,customer
C864622150,0,1,25975.86,0.0,1,customer
C685428529,0,1,33332.86,0.0,1,customer
C213063852,0,1,10119.47,0.0,1,customer
C2025652936,0,1,33332.86,0.0,1,customer
C383882703,0,1,60726.57,0.0,1,customer
C1174000532,0,1,120074.73,0.0,1,customer
C840095827,0,1,60726.57,0.0,1,customer
C1775746074,0,1,10119.47,0.0,1,customer
C17222024,0,1,13707.11,0.0,1,customer
C2026325575,0,1,169941.73,0.0,1,customer
C2044690596,0,1,2930418.44,0.0,1,customer
C540962910,0,1,169941.73,0.0,1,customer
C1844941220,0,1,86070.17,0.0,1,customer
C556223230,0,1,13707.11,0.0,1,customer
C1699873763,0,1,86070.17,0.0,1,customer
C1409933277,0,1,120074.73,0.0,1,customer
C2047521920,0,1,2930418.44,0.0,1,customer
C430329518,0,1,963532.14,0.0,1,customer
C1440057381,0,1,963532.14,0.0,1,customer
C77163673,0,1,1096187.24,0.0,1,customer
C1093223281,0,1,1096187.24,0.0,1,customer
C13692003,0,1,132842.64,0.0,1,customer
C1872047468,0,1,235238.66,0.0,1,customer
C395257482,0,1,14949.84,0.0,1,customer
C1984954272,0,1,10539.37,0.0,1,customer
C1134864869,0,1,10539.37,0.0,1,customer
C175961135,0,1,18627.02,0.0,1,customer
C1375503918,0,1,18627.02,0.0,1,customer
C2126545173,0,1,22877.0,0.0,1,customer
C1247938090,0,1,22877.0,0.0,1,customer
C788790720,0,1,17320.91,0.0,1,customer
C903383636,0,1,30521.02,0.0,1,customer
C158801009,0,1,85354.69,0.0,1,customer
C558400671,0,1,85354.69,0.0,1,customer
C365589282,0,1,10224.0,0.0,1,customer
C1284098442,0,1,10224.0,0.0,1,customer
C1484518113,0,1,17246.0,0.0,1,customer
C1034673425,0,1,17246.0,0.0,1,customer
C777407608,0,1,10565.0,0.0,1,customer
C1191732945,0,1,10565.0,0.0,1,customer
C436661284,0,1,17320.91,0.0,1,customer
C682812632,0,1,26768.5,0.0,1,customer
C1004271827,0,1,25975.86,0.0,1,customer
C457596841,0,1,26768.5,0.0,1,customer
C666642000,0,1,216422.0,0.0,1,customer
C1813769162,0,1,30521.02,0.0,1,customer
C1547714604,0,1,216422.0,0.0,1,customer
C383717053,0,1,262434.54,0.0,1,customer
C1588880909,0,1,5460002.91,0.0,1,customer
C666654362,0,1,5460002.91,0.0,1,customer
C1686905633,0,1,21729.0,0.0,1,customer
C693427358,0,1,21729.0,0.0,1,customer
C1421965867,0,1,13704.0,0.0,1,customer
C1735554279,0,1,13704.0,0.0,1,customer
C2101686389,0,1,262434.54,0.0,1,customer
C1455969984,0,1,164.0,0.0,1,customer
C1023505879,0,1,441445.58,0.0,1,customer
C452475723,0,1,21571.0,0.0,1,customer
C786114805,0,1,21571.0,0.0,1,customer
C1173659886,0,1,164.0,0.0,1,customer
C2102265902,0,1,181728.11,0.0,1,customer
C398085606,0,1,441445.58,0.0,1,customer
C1961506277,0,1,222.0,0.0,1,customer
C1737727444,0,1,222.0,0.0,1,customer
